prec_no,block_no,prec_name,block_name,ob_type
34,0242,宮城県,気仙沼,a
34,0243,宮城県,川渡,a
34,0244,宮城県,築館,a
34,0245,宮城県,箕輪山,a
34,0246,宮城県,志津川,a
34,0247,宮城県,古川,a
34,0248,宮城県,大衡,a
34,0249,宮城県,鹿島台,a
34,47592,宮城県,石巻,s
34,0251,宮城県,新川,a
34,0252,宮城県,鷹巣山,a
34,47590,宮城県,仙台,s
34,0254,宮城県,川崎,a
34,0255,宮城県,不忘山,a
34,0256,宮城県,白石,a
34,0257,宮城県,亘理,a
34,0985,宮城県,雄勝,a
34,1029,宮城県,米山,a
34,1030,宮城県,塩釜,a
34,1126,宮城県,駒ノ湯,a
34,1220,宮城県,丸森,a
34,1267,宮城県,花山,a
34,1290,宮城県,江ノ島,a
34,1298,宮城県,筆甫,a
34,1365,宮城県,泉ケ岳,a
34,1464,宮城県,名取,a
34,1526,宮城県,鴬沢,a
34,1561,宮城県,加美,a
34,1564,宮城県,蔵王,a
34,1597,宮城県,栗駒深山,a
34,1600,宮城県,栗駒,a
34,1626,宮城県,女川,a
34,1630,宮城県,桃生,a
34,1631,宮城県,東松島,a
34,1632,宮城県,岩沼,a
35,0258,山形県,鳥海山,a
35,47587,山形県,酒田,s
35,0260,山形県,差首鍋,a
35,0261,山形県,太平山,a
35,0262,山形県,金山,a
35,0263,山形県,鶴岡,a
35,0264,山形県,狩川,a
35,47520,山形県,新庄,s
35,0266,山形県,瀬見,a
35,0267,山形県,温海岳,a
35,0268,山形県,櫛引,a
35,0269,山形県,月山,a
35,0270,山形県,銀山,a
35,0271,山形県,楯岡,a
35,0272,山形県,左沢,a
35,47588,山形県,山形,s
35,0274,山形県,葉山,a
35,0275,山形県,長井,a
35,0276,山形県,蔵王山,a
35,0277,山形県,小国,a
35,0278,山形県,高峰,a
35,0279,山形県,米沢,a
35,0280,山形県,西吾妻山,a
35,0910,山形県,向町,a
35,1038,山形県,上草津,a
35,1039,山形県,尾花沢,a
35,1040,山形県,鼠ケ関,a
35,1103,山形県,山毛欅潰山,a
35,1125,山形県,肘折,a
35,1132,山形県,高畠,a
35,1169,山形県,落合,a
35,1291,山形県,飛島,a
35,1292,山形県,大井沢,a
35,1357,山形県,荒沢,a
35,1372,山形県,中津川,a
35,1428,山形県,白鷹山,a
35,1465,山形県,浜中,a
35,1488,山形県,東根,a
35,1539,山形県,村山,a
35,1562,山形県,上山中山,a
35,1664,山形県,酒田大沢,a
36,0295,福島県,浪江,a
36,0304,福島県,小野新町,a
36,1034,福島県,広野,a
36,1129,福島県,川内,a
36,0285,福島県,相馬,a
36,0299,福島県,郡山,a
36,0281,福島県,梁川,a
36,0282,福島県,稲荷峠,a
36,0283,福島県,吾妻山,a
36,47595,福島県,福島,s
36,0286,福島県,喜多方,a
36,0287,福島県,八木沢,a
36,0288,福島県,原町,a
36,0289,福島県,飯谷山,a
36,0290,福島県,猪苗代,a
36,0291,福島県,二本松,a
36,0292,福島県,白馬石山,a
36,47570,福島県,若松,s
36,0294,福島県,船引,a
36,0296,福島県,浅草岳,a
36,0297,福島県,只見,a
36,0298,福島県,博士峠,a
36,0300,福島県,富岡,a
36,0301,福島県,南郷,a
36,0302,福島県,駒止峠,a
36,0303,福島県,田島,a
36,0305,福島県,観音山,a
36,47597,福島県,白河,s
36,0307,福島県,石川,a
36,0308,福島県,山王峠,a
36,0309,福島県,大辷山,a
36,0310,福島県,平,a
